sid,search,"splunk_server","_time","is_realtime",provenance,"event_count","exec_time","result_count","scan_count",status,"total_run_time","api_et","api_lt","search_et","search_lt","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_provenance","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_scan_count","__mv_status","__mv_total_run_time","__mv_api_et","__mv_api_lt","__mv_search_et","__mv_search_lt"
"rt_md_1639044166.2","| metadata type=sourcetypes | search totalCount > 0",fedora,"1639044166.446224",1,"UI:Search",0,1639044166,0,0,failed,"168.059",,,,,,,,,,,,,,,,,,,,
"rt_md_1639044323.4","| metadata type=sourcetypes | search totalCount > 0",fedora,"1639044323.218129",1,"UI:Search",0,1639044323,0,0,canceled,"8.044",,,,,,,,,,,,,,,,,,,,
"1639044330.10","search index=alvaro",fedora,"1639044330.801472",0,"UI:Search",0,1639044330,0,0,completed,"0.1","1638957600.000000000","1639044330.000000000","1638957600.000000000","1639044330.000000000",,,,,,,,,,,,,,,,
"1639044332.11","search index=alvaro",fedora,"1639044332.300277",0,"UI:Search",0,1639044332,0,0,completed,"0.07200000000000001","1638957600.000000000","1639044332.000000000","1638957600.000000000","1639044332.000000000",,,,,,,,,,,,,,,,
"1639044346.22","search index=_internal BA-vbox-uf",fedora,"1639044346.071520",0,"UI:Search",0,1639044346,0,0,completed,"0.1","1638957600.000000000","1639044346.000000000","1638957600.000000000","1639044346.000000000",,,,,,,,,,,,,,,,
"1639044357.23","search index=_internal",fedora,"1639044357.128753",0,"UI:Search",3013,1639044357,1000,3013,completed,"0.356","1638957600.000000000","1639044357.000000000","1638957600.000000000","1639044357.000000000",,,,,,,,,,,,,,,,
"1639044388.28","search index=_internal sourcetype=splunkd",fedora,"1639044388.357761",0,"UI:Search",2160,1639044388,1000,2160,completed,"0.195","1638957600.000000000","1639044388.000000000","1638957600.000000000","1639044388.000000000",,,,,,,,,,,,,,,,
"1639044396.31","search index=_internal sourcetype=splunkd ""*vbox-setup.log""",fedora,"1639044396.626444",0,"UI:Search",0,1639044396,0,15,completed,"0.122","1638957600.000000000","1639044396.000000000","1638957600.000000000","1639044396.000000000",,,,,,,,,,,,,,,,
"1639044399.32","search index=_internal sourcetype=splunkd ""vbox-setup.log""",fedora,"1639044399.230305",0,"UI:Search",0,1639044399,0,0,completed,"0.088","1638957600.000000000","1639044399.000000000","1638957600.000000000","1639044399.000000000",,,,,,,,,,,,,,,,
"1639044471.2","search index=_internal sourcetype=splunkd ""vbox-setup.log""",fedora,"1639044471.983251",0,"UI:Search",3,1639044472,3,9,completed,"0.197","1638957600.000000000","1639044471.000000000","1638957600.000000000","1639044471.000000000",,,,,,,,,,,,,,,,
"1639044500.4","search index=alvaro",fedora,"1639044500.029103",0,"UI:Search",0,1639044500,0,0,completed,"0.10200000000000001","1638957600.000000000","1639044500.000000000","1638957600.000000000","1639044500.000000000",,,,,,,,,,,,,,,,
"1639044502.5","search index=alvaro",fedora,"1639044502.245145",0,"UI:Search",0,1639044502,0,0,completed,"0.09","1638957600.000000000","1639044502.000000000","1638957600.000000000","1639044502.000000000",,,,,,,,,,,,,,,,
